place,movie_title,rating,year,star_cast
1,The Shawshank Redemption,9.3,1994,1994
2,The Godfather,9.2,1972,1972
3,The Dark Knight,9.1,2008,2008
4,The Godfather Part II,9.0,1974,1974
5,12 Angry Men,9.0,1957,1957
6,The Lord of the Rings: The Return of the King,9.0,2003,2003
7,Schindler's List,9.0,1993,1993
8,The Lord of the Rings: The Fellowship of the Ring,8.9,2001,2001
9,Pulp Fiction,8.8,1994,1994
10,"The Good, the Bad and the Ugly",8.8,1966,1966
11,Forrest Gump,8.8,1994,1994
12,The Lord of the Rings: The Two Towers,8.8,2002,2002
13,Fight Club,8.8,1999,1999
14,Inception,8.8,2010,2010
15,Star Wars: Episode V - The Empire Strikes Back,8.7,1980,1980
16,The Matrix,8.7,1999,1999
17,Goodfellas,8.7,1990,1990
18,Interstellar,8.7,2014,2014
19,One Flew Over the Cuckoo's Nest,8.7,1975,1975
20,Se7en,8.6,1995,1995
21,It's a Wonderful Life,8.6,1946,1946
22,The Silence of the Lambs,8.6,1991,1991
23,Seven Samurai,8.6,1954,1954
24,Saving Private Ryan,8.6,1998,1998
25,The Green Mile,8.6,1999,1999
