rank,title,year,rating,rating_count,genre,url
N/A,Spider-Man: Into the Spider-Verse,N/A,8.4,752897,"A, n, i, m, a, t, i, o, n, ,,  , A, c, t, i, o, n, ,,  , A, d, v, e, n, t, u, r, e",https://www.imdb.com/title/tt4633694/
N/A,Adaptation.,N/A,7.7,211040,"C, o, m, e, d, y, ,,  , D, r, a, m, a",https://www.imdb.com/title/tt0268126/
N/A,Moonstruck,N/A,7.2,75865,"C, o, m, e, d, y, ,,  , D, r, a, m, a, ,,  , R, o, m, a, n, c, e",https://www.imdb.com/title/tt0093565/
N/A,Leaving Las Vegas,N/A,7.5,142253,"D, r, a, m, a, ,,  , R, o, m, a, n, c, e",https://www.imdb.com/title/tt0113627/
N/A,Raising Arizona,N/A,7.3,157936,"C, o, m, e, d, y, ,,  , C, r, i, m, e",https://www.imdb.com/title/tt0093822/
N/A,Pig,N/A,6.9,101599,"D, r, a, m, a, ,,  , M, y, s, t, e, r, y",https://www.imdb.com/title/tt11003218/
N/A,Face/Off,N/A,7.3,418939,"A, c, t, i, o, n, ,,  , C, r, i, m, e, ,,  , S, c, i, -, F, i",https://www.imdb.com/title/tt0119094/
N/A,Red Rock West,N/A,7.0,27390,"C, r, i, m, e, ,,  , D, r, a, m, a, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt0105226/
N/A,Kick-Ass,N/A,7.6,613893,"A, c, t, i, o, n, ,,  , C, o, m, e, d, y, ,,  , C, r, i, m, e",https://www.imdb.com/title/tt1250777/
N/A,The Unbearable Weight of Massive Talent,N/A,7.0,173739,"A, c, t, i, o, n, ,,  , C, o, m, e, d, y, ,,  , C, r, i, m, e",https://www.imdb.com/title/tt11291274/
N/A,Fast Times at Ridgemont High,N/A,7.1,122465,"C, o, m, e, d, y, ,,  , D, r, a, m, a",https://www.imdb.com/title/tt0083929/
N/A,Birdy,N/A,7.2,26185,"D, r, a, m, a, ,,  , W, a, r",https://www.imdb.com/title/tt0086969/
N/A,Mandy,N/A,6.5,96765,"A, c, t, i, o, n, ,,  , F, a, n, t, a, s, y, ,,  , H, o, r, r, o, r",https://www.imdb.com/title/tt6998518/
N/A,Dream Scenario,N/A,6.8,89119,"C, o, m, e, d, y, ,,  , D, r, a, m, a, ,,  , F, a, n, t, a, s, y",https://www.imdb.com/title/tt21942866/
N/A,Bringing Out the Dead,N/A,6.9,79807,"D, r, a, m, a, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt0163988/
N/A,Matchstick Men,N/A,7.3,143415,"C, o, m, e, d, y, ,,  , C, r, i, m, e, ,,  , D, r, a, m, a",https://www.imdb.com/title/tt0325805/
N/A,Rumble Fish,N/A,7.1,40356,"C, r, i, m, e, ,,  , D, r, a, m, a, ,,  , R, o, m, a, n, c, e",https://www.imdb.com/title/tt0086216/
N/A,The Rock,N/A,7.4,373727,"A, c, t, i, o, n, ,,  , A, d, v, e, n, t, u, r, e, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt0117500/
N/A,Joe,N/A,6.8,52943,"C, r, i, m, e, ,,  , D, r, a, m, a, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt2382396/
N/A,Wild at Heart,N/A,7.2,109624,"C, r, i, m, e, ,,  , D, r, a, m, a, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt0100935/
N/A,Lord of War,N/A,7.6,352628,"C, r, i, m, e, ,,  , D, r, a, m, a",https://www.imdb.com/title/tt0399295/
N/A,Valley Girl,N/A,6.4,20402,"C, o, m, e, d, y, ,,  , R, o, m, a, n, c, e",https://www.imdb.com/title/tt0086525/
N/A,Teen Titans Go! To the Movies,N/A,6.7,23190,"A, n, i, m, a, t, i, o, n, ,,  , A, c, t, i, o, n, ,,  , A, d, v, e, n, t, u, r, e",https://www.imdb.com/title/tt7424200/
N/A,The Bad Lieutenant: Port of Call - New Orleans,N/A,6.6,83640,"C, r, i, m, e, ,,  , D, r, a, m, a, ,,  , M, y, s, t, e, r, y",https://www.imdb.com/title/tt1095217/
N/A,Longlegs,N/A,6.6,205038,"C, r, i, m, e, ,,  , H, o, r, r, o, r, ,,  , M, y, s, t, e, r, y",https://www.imdb.com/title/tt23468450/
N/A,Peggy Sue Got Married,N/A,6.4,43132,"C, o, m, e, d, y, ,,  , D, r, a, m, a, ,,  , F, a, n, t, a, s, y",https://www.imdb.com/title/tt0091738/
